Date/Time;Volume Temperature, °C;Volume Temperature Setpoint, °C;Temperature Control (P), %;Temperature Control (I), %;Temperature Control (D), %
15.01.26 12:34:43;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:45;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:47;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:49;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:51;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:53;59,99;60,00;0,10;5,24;0,01
15.01.26 12:34:55;59,99;60,00;0,10;5,24;-0,13
15.01.26 12:34:57;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:59;59,99;60,00;0,10;5,24;0,02
15.01.26 12:35:01;59,99;60,00;0,10;5,24;0,02
15.01.26 12:35:03;59,99;60,00;0,10;5,24;0,01
15.01.26 12:35:05;59,99;60,00;0,10;5,24;0,01
15.01.26 12:35:07;59,99;60,00;-0,41;5,24;-0,14
15.01.26 12:35:09;60,04;60,00;-0,41;5,23;-0,12
15.01.26 12:35:11;59,99;60,00;-0,41;5,23;-0,12
15.01.26 12:35:13;59,99;60,00;0,10;5,23;0,04
15.01.26 12:35:16;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:18;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:20;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:22;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:24;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:26;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:28;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:30;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:32;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:34;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:36;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:38;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:40;60,04;60,00;0,10;5,23;0,02
15.01.26 12:35:42;59,99;60,00;-0,41;5,23;-0,13
15.01.26 12:35:44;60,04;60,00;0,10;5,23;0,04
15.01.26 12:35:47;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:49;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:51;59,99;60,00;0,10;5,23;0,03
15.01.26 12:35:53;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:55;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:57;59,99;60,00;0,10;5,23;0,02
15.01.26 12:35:59;60,04;60,00;-0,41;5,23;-0,13
15.01.26 12:36:01;60,04;60,00;-0,41;5,22;-0,11
15.01.26 12:36:03;59,99;60,00;0,10;5,22;0,04
15.01.26 12:36:05;59,99;60,00;0,10;5,22;0,04
15.01.26 12:36:07;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:09;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:11;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:13;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:15;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:17;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:20;60,04;60,00;-0,41;5,22;-0,13
15.01.26 12:36:22;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:24;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:26;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:28;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:30;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:32;60,04;60,00;-0,41;5,22;-0,13
15.01.26 12:36:34;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:36;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:38;59,99;60,00;0,10;5,22;0,03
15.01.26 12:36:40;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:42;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:44;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:46;59,99;60,00;0,10;5,22;0,02
15.01.26 12:36:48;59,99;60,00;-0,41;5,22;-0,13
15.01.26 12:36:50;60,04;60,00;0,10;5,21;0,03
15.01.26 12:36:52;59,99;60,00;0,10;5,21;0,03
15.01.26 12:36:55;59,99;60,00;0,10;5,21;0,03
15.01.26 12:36:57;59,99;60,00;0,10;5,21;0,03
