Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 23:38:11;-3,58;0,00;23,88;-3,82;2,31
18.01.26 23:38:14;-3,63;0,00;24,21;-3,60;2,18
18.01.26 23:38:16;-3,73;0,00;24,88;-3,45;2,17
18.01.26 23:38:18;-3,78;0,00;25,21;-3,30;2,06
18.01.26 23:38:20;-3,88;0,00;26,20;-3,15;2,05
18.01.26 23:38:22;-3,93;0,00;26,20;-2,99;1,86
18.01.26 23:38:24;-3,98;0,00;26,86;-2,83;1,87
18.01.26 23:38:26;-4,03;0,00;27,19;-2,67;1,79
18.01.26 23:38:28;-4,13;0,00;27,52;-2,50;1,71
18.01.26 17:38:30;-4,18;0,00;28,18;-2,33;1,74
18.01.26 17:38:32;-4,28;0,00;28,51;-2,16;1,66
18.01.26 17:38:34;-4,33;0,00;28,84;-1,99;1,60
18.01.26 17:38:36;-4,33;0,00;28,84;-1,82;1,47
18.01.26 17:38:38;-4,43;0,00;29,51;-1,64;1,43
18.01.26 17:38:40;-4,43;0,00;29,51;-1,47;1,38
18.01.26 17:38:42;-4,53;0,00;30,17;-1,20;1,34
18.01.26 17:38:45;-4,53;0,00;30,17;-1,01;1,31
18.01.26 17:38:47;-4,57;0,00;30,50;-0,83;1,19
18.01.26 17:38:49;-4,62;0,00;31,16;-0,64;1,26
18.01.26 17:38:51;-4,67;0,00;31,16;-0,46;1,14
18.01.26 17:38:53;-4,72;0,00;31,49;-0,27;1,12
18.01.26 17:38:55;-4,77;0,00;31,82;-0,08;1,11
18.01.26 17:38:57;-4,77;0,00;32,15;0,04;1,10
18.01.26 17:38:59;-4,82;0,00;32,15;0,11;0,99
18.01.26 17:39:01;-4,87;0,00;32,48;0,17;0,99
18.01.26 17:39:03;-4,92;0,00;32,81;0,24;0,99
18.01.26 17:39:05;-4,92;0,00;32,81;0,30;0,95
18.01.26 17:39:07;-4,97;0,00;33,14;0,37;0,86
18.01.26 17:39:09;-4,97;0,00;33,14;0,44;0,87
18.01.26 17:39:11;-5,02;0,00;33,47;0,54;0,79
18.01.26 17:39:14;-5,07;0,00;33,80;0,60;0,81
18.01.26 17:39:16;-5,07;0,00;33,80;0,67;0,73
18.01.26 17:39:18;-5,12;0,00;34,13;0,74;0,75
18.01.26 17:39:20;-5,12;0,00;34,47;0,81;0,78
18.01.26 17:39:22;-5,17;0,00;34,80;0,88;0,80
18.01.26 17:39:24;-5,22;0,00;34,80;0,95;0,73
18.01.26 17:39:26;-5,22;0,00;35,13;1,02;0,75
18.01.26 17:39:28;-5,27;0,00;35,13;1,09;0,68
18.01.26 17:39:30;-5,32;0,00;35,46;1,16;0,72
18.01.26 17:39:32;-5,32;0,00;35,46;1,23;0,65
18.01.26 17:39:34;-5,37;0,00;35,79;1,30;0,68
18.01.26 17:39:36;-5,37;0,00;35,79;1,37;0,59
18.01.26 17:39:38;-5,42;0,00;36,12;1,44;0,63
18.01.26 17:39:40;-5,42;0,00;36,12;1,51;0,57
18.01.26 17:39:42;-5,42;0,00;36,12;1,62;0,61
18.01.26 17:39:45;-5,47;0,00;36,45;1,70;0,55
18.01.26 17:39:47;-5,47;0,00;36,45;1,77;0,59
18.01.26 17:39:49;-5,52;0,00;36,78;1,84;0,54
18.01.26 17:39:51;-5,52;0,00;37,11;1,92;0,58
18.01.26 17:39:53;-5,57;0,00;37,11;1,99;0,53
18.01.26 17:39:55;-5,57;0,00;37,44;2,06;0,57
18.01.26 17:39:57;-5,62;0,00;37,44;2,14;0,52
18.01.26 17:39:59;-5,62;0,00;37,44;2,21;0,47
18.01.26 17:40:01;-5,67;0,00;37,77;2,29;0,52
18.01.26 17:40:03;-5,67;0,00;37,77;2,37;0,44
18.01.26 17:40:05;-5,67;0,00;37,77;2,44;0,40
18.01.26 17:40:07;-5,72;0,00;38,10;2,52;0,45
